epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,12334.2,0.92128,0.41797,1.73829,0.91416,0.87292,0.88886,0.72187,1.41033,0.55665,2.26717,0.0002872,0.0002872,0.0002872
74,12503.1,0.92385,0.41727,1.74149,0.92786,0.85454,0.88489,0.71631,1.40609,0.56068,2.25527,0.0002773,0.0002773,0.0002773
75,12671.9,0.92155,0.41764,1.73452,0.89951,0.88103,0.88385,0.71927,1.41611,0.563,2.25337,0.0002674,0.0002674,0.0002674
76,12840.5,0.90498,0.40577,1.7335,0.90665,0.8766,0.89095,0.72273,1.40596,0.56128,2.24175,0.0002575,0.0002575,0.0002575
77,13009.2,0.90898,0.41189,1.7306,0.90412,0.87,0.88513,0.72087,1.39694,0.56828,2.21923,0.0002476,0.0002476,0.0002476
78,13178,0.89512,0.40734,1.72296,0.90503,0.85846,0.87649,0.71498,1.40472,0.56846,2.24349,0.0002377,0.0002377,0.0002377
79,13347,0.89749,0.411,1.72606,0.89911,0.86839,0.88965,0.71762,1.39967,0.56952,2.23463,0.0002278,0.0002278,0.0002278
80,13515.2,0.88606,0.40727,1.72639,0.93775,0.8808,0.90413,0.72403,1.4027,0.55925,2.24365,0.0002179,0.0002179,0.0002179
81,13684.3,0.87833,0.40132,1.72478,0.89615,0.88352,0.88821,0.71983,1.41204,0.5548,2.28373,0.000208,0.000208,0.000208
82,13853.5,0.87485,0.39654,1.72303,0.89824,0.8844,0.89034,0.71942,1.40507,0.55781,2.257,0.0001981,0.0001981,0.0001981
83,14021.6,0.87269,0.40233,1.71792,0.91574,0.86683,0.88133,0.71295,1.40598,0.58076,2.24334,0.0001882,0.0001882,0.0001882
84,14190.3,0.87401,0.40268,1.71865,0.91399,0.86842,0.88242,0.71534,1.41143,0.57169,2.27926,0.0001783,0.0001783,0.0001783
85,14359.4,0.86153,0.39185,1.71843,0.91128,0.87308,0.88609,0.71859,1.40983,0.57156,2.29141,0.0001684,0.0001684,0.0001684
86,14527.7,0.86055,0.39868,1.7233,0.91051,0.87401,0.88744,0.71822,1.41283,0.57389,2.28616,0.0001585,0.0001585,0.0001585
87,14696.7,0.84824,0.39053,1.72132,0.91351,0.86256,0.87554,0.71258,1.41646,0.59455,2.27862,0.0001486,0.0001486,0.0001486
88,14865.4,0.84108,0.38267,1.71292,0.92861,0.86747,0.89179,0.71736,1.41812,0.60233,2.28995,0.0001387,0.0001387,0.0001387
89,15034,0.83485,0.37992,1.71423,0.91743,0.86555,0.88495,0.71642,1.42318,0.58868,2.29191,0.0001288,0.0001288,0.0001288
90,15202.6,0.82588,0.37866,1.70591,0.91763,0.86734,0.88176,0.71912,1.41058,0.5749,2.30925,0.0001189,0.0001189,0.0001189
91,15370.8,0.68339,0.29636,1.67197,0.92875,0.86105,0.88187,0.71635,1.42613,0.56822,2.32041,0.000109,0.000109,0.000109
92,15538.2,0.66537,0.28948,1.65573,0.9258,0.8676,0.88787,0.71627,1.42728,0.59056,2.33454,9.91e-05,9.91e-05,9.91e-05
93,15705.1,0.65306,0.28325,1.64445,0.9016,0.8702,0.88594,0.71589,1.42883,0.59397,2.33313,8.92e-05,8.92e-05,8.92e-05
94,15872.4,0.64818,0.2806,1.64508,0.93575,0.85874,0.88917,0.71779,1.42717,0.60356,2.32651,7.93e-05,7.93e-05,7.93e-05
95,16039.7,0.63052,0.27449,1.63984,0.92951,0.86401,0.88368,0.71793,1.4204,0.59839,2.33893,6.94e-05,6.94e-05,6.94e-05
96,16206,0.62914,0.27355,1.63791,0.92832,0.87421,0.89013,0.71632,1.42995,0.59839,2.34313,5.95e-05,5.95e-05,5.95e-05
97,16372.9,0.61434,0.26894,1.63564,0.92443,0.87189,0.8858,0.71978,1.42171,0.59267,2.35502,4.96e-05,4.96e-05,4.96e-05
98,16539.7,0.61043,0.26649,1.63512,0.9169,0.86653,0.87777,0.71742,1.42028,0.59414,2.355,3.97e-05,3.97e-05,3.97e-05
99,16707.1,0.60498,0.26513,1.63507,0.91105,0.86456,0.87687,0.71762,1.41541,0.59289,2.34502,2.98e-05,2.98e-05,2.98e-05
100,16873.8,0.59882,0.26316,1.63548,0.9148,0.87051,0.88379,0.71895,1.42079,0.591,2.35463,1.99e-05,1.99e-05,1.99e-05
